2025-01-21 14:24:20,406 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:24:20,406 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1651.0 MiB
2025-01-21 14:24:25,487 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
2025-01-21 14:24:25,488 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.094 cores, Memory: 457.0 MiB
2025-01-21 14:24:25,488 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:24:25,489 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:24:25,489 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1651.0 MiB
2025-01-21 14:24:30,576 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
2025-01-21 14:24:30,576 - INFO - Pod: airflow-scheduler-6c87cc4999-cfc9b, CPU: 0.094 cores, Memory: 457.0 MiB
2025-01-21 14:24:30,576 - INFO - Pod: airflow-statsd-769b757665-j79v7, CPU: 0.005 cores, Memory: 19.0 MiB
2025-01-21 14:24:30,576 - INFO - Pod: airflow-triggerer-0, CPU: 0.055 cores, Memory: 363.0 MiB
2025-01-21 14:24:30,577 - INFO - Pod: airflow-webserver-76897578b8-42m5q, CPU: 0.003 cores, Memory: 1651.0 MiB
2025-01-21 14:24:35,658 - INFO - Pod: airflow-postgresql-0, CPU: 0.02 cores, Memory: 80.0 MiB
